frame,knee_valgus_L,knee_valgus_R,head_forward_angle,squat_depth_knee_deg,sagittal_flexion_trunk,hip_angle_L,hip_angle_R,hip_flexion_L,hip_flexion_R,knee_flexion_L,knee_flexion_R,ankle_dorsiflexion_proxy_L,ankle_dorsiflexion_proxy_R,lumbar_curvature_proxy
0,5.906890869140625,-11.882644653320312,-0.7733671069145203,9.300035679804935,-2.5908658504486084,158.35877392216818,171.4614380176213,3.97404422517414,0.4262231802522649,5.926883583051762,12.673187776558109,-357.9989318847656,1.2255096435546875,-2.5908658504486084
1,5.6272430419921875,-11.652053833007812,0.023650681599974632,9.486521293090917,-1.542043685913086,158.83478218355236,171.26083748533242,1.5535789942323674,-1.7053931737363826,5.859997673104459,13.113044913077374,-357.2112121582031,1.822052001953125,-1.542043685913086
2,5.402069091796875,-11.572601318359375,0.6773631572723389,10.297776979442645,-0.37665116786956787,159.136645433443,170.38613627825677,358.73497297521226,-4.022870042365838,6.751104163568726,13.844449795316564,-356.4336853027344,2.327728271484375,-0.37665116786956787
3,5.34063720703125,-11.575820922851562,1.157068133354187,11.72436609972489,1.041198492050171,158.94954664394595,168.9901553072176,355.41131582017533,-6.750640966934014,8.574277614475335,14.874454584974444,-355.6600799560547,2.8406982421875,1.041198492050171
4,5.255584716796875,-11.551254272460938,1.454563856124878,13.395399995332099,2.6400954723358154,158.19268786747105,167.12638196030284,351.6813611006319,-9.759602644485284,10.870783786384095,15.920016204280103,-354.962158203125,3.1247406005859375,2.6400954723358154
5,5.3251495361328125,-11.73944091796875,1.522993564605713,15.53300274712295,4.526489734649658,156.55894265518788,164.6216734339007,347.34655680413834,-13.243576862853814,13.77434307161198,17.29166242263392,-354.2008514404297,3.3597259521484375,4.526489734649658
6,5.3762664794921875,-12.29132080078125,1.3857195377349854,17.94702816301499,6.629703521728516,154.0257447464817,161.57587956746156,342.5867725824892,-17.113041260284234,16.82828703283778,19.065769293192204,-353.59336853027344,3.57855224609375,6.629703521728516
7,5.5277862548828125,-13.12237548828125,1.0882097482681274,20.65327703864466,8.96103572845459,150.55749933262572,158.0850507856345,337.36209931131,-21.37279448751812,20.175706929606747,21.130847147682573,-353.0084686279297,3.763885498046875,8.96103572845459
8,5.5625152587890625,-14.195648193359375,0.6608933210372925,23.456054779103553,11.42502498626709,146.4953253056169,154.3461880063414,331.91716828103654,-25.85509429220562,23.481390507530847,23.43071905067626,-352.5657501220703,3.96392822265625,11.42502498626709
9,5.5205535888671875,-15.492599487304688,0.21543680131435394,26.378962075768555,13.994895935058594,142.06186098053763,150.43617844115056,326.39286007638566,-30.534172394317437,26.758197952775134,25.999726198761977,-352.1431121826172,4.2540283203125,13.994895935058594
10,5.3337249755859375,-16.906219482421875,-0.30209341645240784,29.29208856603455,16.603042602539062,137.53423776614505,146.44802028603746,320.95628323312394,-35.28454623464947,29.887522175286364,28.696654956782737,-351.7508850097656,4.59637451171875,16.603042602539062
11,4.93292236328125,-18.755889892578125,-0.7249445915222168,32.34907141114053,19.010221481323242,133.04991071942732,142.4724171441703,315.85058750863664,-39.8662246251524,32.94204958926579,31.756093233015264,-351.30303955078125,5.085906982421875,19.010221481323242
12,4.486480712890625,-20.9447021484375,-1.064414143562317,35.56431115693097,21.26897621154785,128.6081774608297,138.5337957561407,311.0079704737245,-44.34464488272076,35.9841113378823,35.14451097597964,-350.77516174316406,5.7494659423828125,21.26897621154785
13,3.8055877685546875,-23.5509033203125,-1.2751848697662354,38.92763659945288,23.322397232055664,124.32128767915033,134.7061796842152,306.4914604639589,-48.638513901275445,39.000671047310846,38.85460215159492,-350.1558380126953,6.553924560546875,23.322397232055664
14,3.1849212646484375,-26.608612060546875,-1.3253544569015503,42.87310650333589,25.29233169555664,119.83966007411128,130.83982214206176,301.8106342768251,-53.10686145071392,42.56119597736185,43.18501702930993,-349.2625732421875,7.6680450439453125,25.29233169555664
