frame,joint,x_2d,y_2d,score_2d,x_3d,y_3d,z_3d
0,Nose,465.0934,136.38885,0.9391396,,,
0,LEye,469.7881,126.09049,0.905032,,,
0,REye,460.3987,126.09049,0.9367644,,,
0,LEar,474.4828,131.23967,0.882494,,,
0,REar,453.3567,126.09049,0.9154138,,,
0,LShoulder,476.83014,167.28394,0.84242344,0.12039062,-0.17366323,0.03725566
0,RShoulder,432.2306,162.13475,0.825087,0.014328173,-0.1921194,-0.004150396
0,LElbow,486.21948,182.73148,0.8390774,0.14996526,-0.14347368,0.11772052
0,RElbow,406.40982,187.88065,0.9043202,-0.05105681,-0.12164873,0.07403376
0,LWrist,474.4828,203.3282,0.8409265,0.11152582,-0.088279724,0.04652046
0,RWrist,413.45184,229.0741,0.9121819,-0.035370626,-0.029988721,0.0089894
0,LHip,455.70404,249.67082,0.8336459,0.07832764,0.014731102,0.015461612
0,RHip,429.88324,239.37245,0.8742531,-0.0007069337,-0.016056843,-0.016398473
0,LKnee,443.96732,301.16263,0.8207446,0.040154293,0.14785108,-0.106912695
0,RKnee,427.53592,290.86426,0.87036717,0.003627614,0.11087939,-0.15950406
0,LAnkle,432.2306,342.35605,0.88872504,0.014918232,0.24961673,0.028772017
0,RAnkle,408.75717,352.65442,0.85296994,-0.043347634,0.27309546,-0.17045847
0,Head,465.0934,105.49377,0.8769908,0.08993162,-0.31893256,-0.03868875
0,Neck,458.0514,151.8364,0.9534999,0.07767064,-0.21202575,-0.00012437906
0,Hip,443.96732,239.37245,0.8414302,0.038669735,-0.0011603646,-0.0013919941
0,LBigToe,436.9253,362.9528,0.9323197,,,
0,RBigToe,411.1045,368.10196,0.80442065,,,
0,LSmallToe,439.27264,362.9528,0.891552,,,
0,RSmallToe,404.06247,362.9528,0.7873656,,,
0,LHeel,425.18857,352.65442,0.8754169,,,
0,RHeel,404.06247,362.9528,0.66614693,,,
1,Nose,466.4163,130.47423,0.9374489,,,
1,LEye,471.06277,125.34364,0.9090399,,,
1,REye,461.76978,125.34364,0.92484367,,,
1,LEar,475.7093,135.60483,0.89737517,,,
1,REar,454.80005,125.34364,0.9244373,,,
1,LShoulder,478.03253,166.38838,0.82452786,0.12263863,-0.17427786,0.037168052
1,RShoulder,433.8908,156.1272,0.8334302,0.016701713,-0.19223611,-0.004761505
1,LElbow,487.32553,176.64955,0.8486153,0.15214998,-0.14708434,0.11882644
1,RElbow,406.01184,186.91074,0.9045732,-0.049465314,-0.121819675,0.0735218
1,LWrist,473.38602,197.17192,0.79099697,0.11323372,-0.08943978,0.04863429
1,RWrist,412.98157,227.95547,0.9307311,-0.033678688,-0.030791905,0.0076427916
1,LHip,457.1233,248.47784,0.83051765,0.080689445,0.013930764,0.015499575
1,RHip,431.56757,238.21666,0.83484936,0.0022948657,-0.017657742,-0.016532872
1,LKnee,445.50705,299.78375,0.82428044,0.04066509,0.14732696,-0.10618765
1,RKnee,429.24432,284.392,0.87846285,0.009838039,0.10656138,-0.16106747
1,LAnkle,431.56757,345.95908,0.9024035,0.014185054,0.2501588,0.032712385
1,RAnkle,412.98157,351.0897,0.8634404,-0.032957837,0.2683182,-0.17042404
1,Head,466.4163,104.82127,0.88354206,0.09187366,-0.31939557,-0.03938252
1,Neck,459.44653,150.9966,0.9597795,0.079982586,-0.21232197,-0.0006234532
1,Hip,445.50705,238.21666,0.8296851,0.04134915,-0.0023212563,-0.0013264855
1,LBigToe,438.5373,361.35086,0.9145012,,,
1,RBigToe,406.01184,366.48145,0.8723767,,,
1,LSmallToe,440.86057,361.35086,0.9213325,,,
1,RSmallToe,403.68857,361.35086,0.9628248,,,
1,LHeel,426.92105,356.22028,0.855621,,,
1,RHeel,415.3048,361.35086,0.8819672,,,
2,Nose,467.40936,134.83362,0.9436683,,,
2,LEye,472.04776,124.6506,0.9096977,,,
2,REye,462.771,124.6506,0.93846315,,,
2,LEar,476.68613,134.83362,0.9286138,,,
2,REar,455.81342,129.74211,0.90224004,,,
2,LShoulder,479.0053,165.3827,0.7806283,0.124829575,-0.17481999,0.036819924
2,RShoulder,437.2599,160.29118,0.8236697,0.019207617,-0.1923032,-0.005640002
2,LElbow,488.2821,175.56573,0.8525021,0.1547156,-0.15010768,0.1196923
2,RElbow,407.1104,190.84027,0.9209179,-0.04792795,-0.122173175,0.07261639
2,LWrist,474.36694,201.0233,0.8584195,0.11528935,-0.09022358,0.050078884
2,RWrist,414.068,226.48085,0.9119069,-0.032144036,-0.031855233,0.0062455023
2,LHip,458.1326,251.93842,0.8202678,0.082955204,0.013171867,0.015765963
2,RHip,434.9407,236.66388,0.811549,0.0051595233,-0.019251874,-0.016795473
2,LKnee,446.53665,297.76202,0.8422811,0.041137774,0.14699154,-0.105300836
2,RKnee,432.62152,287.579,0.9209181,0.016356084,0.10284223,-0.1623322
2,LAnkle,432.62152,343.58566,0.8703519,0.013554874,0.25044206,0.036749333
2,RAnkle,418.70636,343.58566,0.8123659,-0.02171311,0.26349708,-0.16884577
2,Head,467.40936,104.284546,0.8877533,0.09367742,-0.31987116,-0.040020403
2,Neck,460.45178,150.10817,0.9441546,0.08229753,-0.212624,-0.0014865256
2,Hip,446.53665,236.66388,0.81869674,0.04397756,-0.003453469,-0.0012616585
2,LBigToe,437.2599,363.95172,0.94435513,,,
2,RBigToe,411.74878,363.95172,0.82889545,,,
2,LSmallToe,439.57907,358.8602,0.95740086,,,
2,RSmallToe,407.1104,358.8602,0.89626265,,,
2,LHeel,425.66394,353.76868,0.88736784,,,
2,RHeel,418.70636,358.8602,0.82167107,,,
3,Nose,468.14005,129.37535,0.9539314,,,
3,LEye,472.80365,124.28916,0.922868,,,
3,REye,463.47644,124.28916,0.93756545,,,
3,LEar,477.46722,134.46155,0.92066604,,,
3,REar,456.48105,129.37535,0.90950483,,,
3,LShoulder,479.79904,164.97868,0.7971997,0.12709022,-0.17567581,0.03611473
3,RShoulder,435.49487,159.89249,0.8430655,0.021596579,-0.19283436,-0.0067282813
3,LElbow,489.12622,175.15106,0.84605825,0.15759543,-0.15322556,0.12000713
3,RElbow,407.51328,190.40962,0.9151724,-0.04632154,-0.12325229,0.07155332
3,LWrist,475.13544,200.582,0.8768925,0.11753842,-0.09120831,0.051217895
3,RWrist,414.50867,226.01295,0.9150193,-0.030587314,-0.03348225,0.0055336514
3,LHip,458.81284,246.35771,0.83426195,0.08536349,0.012210127,0.01598461
3,RHip,435.49487,236.18533,0.8106324,0.008179887,-0.020954112,-0.017265094
3,LKnee,447.15387,297.2196,0.8479657,0.04190509,0.14679499,-0.10388238
3,RKnee,435.49487,281.96103,0.926445,0.02343932,0.09908643,-0.16350582
3,LAnkle,430.83127,342.9953,0.83238554,0.012849316,0.25055224,0.040944293
3,RAnkle,423.83588,342.9953,0.8492828,-0.009760314,0.25950876,-0.16659912
3,Head,468.14005,103.944405,0.8717916,0.0953344,-0.32070994,-0.040774107
3,Neck,461.14465,149.72011,0.95586485,0.0845986,-0.21330094,-0.0026330065
3,Hip,447.15387,236.18533,0.83151776,0.0467656,-0.0047382675,-0.0012123908
3,LBigToe,437.82666,363.34006,0.9541855,,,
3,RBigToe,416.84048,363.34006,0.6134478,,,
3,LSmallToe,440.15845,363.34006,0.9307862,,,
3,RSmallToe,414.50867,358.25388,0.71266234,,,
3,LHeel,428.49945,358.25388,0.8205119,,,
3,RHeel,421.50406,358.25388,0.67460763,,,
4,Nose,469.21567,129.44467,0.96888137,,,
4,LEye,473.931,124.36767,0.9430301,,,
4,REye,466.858,124.36767,0.9227045,,,
4,LEar,478.64633,134.52167,0.93912977,,,
4,REar,457.42734,129.44467,0.9096949,,,
4,LShoulder,481.004,164.98366,0.78064466,0.12939814,-0.17676729,0.03512959
4,RShoulder,438.56598,154.82967,0.82518727,0.023890318,-0.19361925,-0.00805397
4,LElbow,490.43466,175.13766,0.8435116,0.1607579,-0.15629421,0.11976901
4,RElbow,407.91632,190.36865,0.9061186,-0.044676486,-0.1248007,0.070357285
4,LWrist,476.28867,200.52266,0.7977337,0.11995645,-0.09222612,0.052345395
4,RWrist,414.98932,225.90765,0.9271788,-0.028935617,-0.0354091,0.0051938035
4,LHip,459.785,251.29265,0.8168976,0.08790516,0.01115248,0.016166197
4,RHip,436.2083,230.98465,0.80335295,0.011182813,-0.022666723,-0.017506761
4,LKnee,447.99664,296.98566,0.7366049,0.04282368,0.1467789,-0.10221864
4,RKnee,438.56598,281.75464,0.87326324,0.030885445,0.095632926,-0.16420202
4,LAnkle,429.1353,347.75565,0.749764,0.012305741,0.25076708,0.04478015
4,RAnkle,429.1353,342.67865,0.8548357,0.0027232494,0.25603148,-0.1636492
4,Head,469.21567,104.05967,0.8738906,0.09681302,-0.32173094,-0.04154701
4,Neck,462.14267,149.75267,0.9434075,0.086946085,-0.2141561,-0.0040408364
4,Hip,447.99664,236.06165,0.8216019,0.049569376,-0.006149605,-0.0011640692
4,LBigToe,438.56598,362.98663,0.9121484,,,
4,RBigToe,438.56598,362.98663,0.5608038,,,
4,LSmallToe,438.56598,362.98663,0.7961712,,,
4,RSmallToe,433.85065,357.90964,0.59461904,,,
4,LHeel,422.06232,357.90964,0.7319256,,,
4,RHeel,422.06232,352.83264,0.6112539,,,
5,Nose,470.57938,129.48283,0.9627357,,,
5,LEye,475.3596,124.41192,0.91532314,,,
5,REye,465.79916,124.41192,0.94816554,,,
5,LEar,480.13983,129.48283,0.8894715,,,
5,REar,456.2387,129.48283,0.917142,,,
5,LShoulder,482.52994,164.97931,0.72708744,0.13186911,-0.17843093,0.03406439
5,RShoulder,437.11783,159.90839,0.8018236,0.026275154,-0.19473591,-0.009093254
5,LElbow,492.0904,170.05023,0.84515554,0.16429393,-0.15928732,0.118862994
5,RElbow,408.4365,185.263,0.9064494,-0.042993326,-0.12693764,0.06948401
5,LWrist,477.74973,200.47577,0.83185446,0.1227593,-0.09346984,0.053384043
5,RWrist,415.6068,220.75946,0.880406,-0.027067175,-0.037707716,0.005226547
5,LHip,461.01892,251.18501,0.81132156,0.090693176,0.009677734,0.016226644
5,RHip,437.11783,235.97223,0.7789891,0.0141709745,-0.024582544,-0.017960347
5,LKnee,444.28815,301.89426,0.62554586,0.04374467,0.14687653,-0.100114204
5,RKnee,441.89804,281.61057,0.8664384,0.03855648,0.09238206,-0.16461092
5,LAnkle,429.94748,347.53256,0.6379998,0.012129604,0.25086424,0.048005432
5,RAnkle,429.94748,347.53256,0.82022214,0.0154424505,0.25324243,-0.16138498
5,Head,468.18927,104.12822,0.8571047,0.098111615,-0.32320014,-0.042118423
5,Neck,463.40906,154.83746,0.93395716,0.08938962,-0.21540548,-0.005451897
5,Hip,449.06836,235.97223,0.842617,0.052623704,-0.007853355,-0.0011290468
5,LBigToe,437.11783,362.74533,0.83836114,,,
5,RBigToe,439.50793,362.74533,0.72524756,,,
5,LSmallToe,439.50793,362.74533,0.72525656,,,
5,RSmallToe,434.7277,362.74533,0.68260235,,,
5,LHeel,422.77716,352.6035,0.7323885,,,
5,RHeel,422.77716,352.6035,0.78429675,,,
6,Nose,471.75476,129.66055,0.9656638,,,
6,LEye,474.1638,124.58373,0.9210142,,,
6,REye,466.93668,124.58373,0.9258715,,,
6,LEar,481.39087,129.66055,0.9101618,,,
6,REar,457.30057,129.66055,0.9372094,,,
6,LShoulder,483.7999,165.19827,0.7116137,0.13418807,-0.18091954,0.032405928
6,RShoulder,438.02832,160.12146,0.80064905,0.028507652,-0.19665143,-0.010452136
6,LElbow,493.43604,170.27509,0.8402207,0.16758934,-0.16226533,0.11798173
6,RElbow,409.11993,185.50554,0.91686434,-0.040975735,-0.12932031,0.06847858
6,LWrist,478.98184,200.736,0.8287481,0.12555462,-0.09517564,0.053944945
6,RWrist,416.34705,221.04326,0.88891023,-0.02482661,-0.04016031,0.004943382
6,LHip,462.11862,251.50417,0.80494064,0.093724415,0.0075626094,0.015999611
6,RHip,438.02832,236.27371,0.7981309,0.017357161,-0.02699968,-0.018296083
6,LKnee,442.84637,312.42596,0.46931598,0.045084253,0.14659278,-0.09804129
6,RKnee,445.2554,276.88824,0.87303406,0.046284527,0.08922158,-0.16470957
6,LAnkle,430.8012,347.9637,0.43778983,0.01220323,0.25071242,0.050725557
6,RAnkle,433.21027,342.88687,0.71673864,0.029193169,0.25124183,-0.15761547
6,Head,469.3457,104.27646,0.8450092,0.09916017,-0.32549468,-0.043200325
6,Neck,464.52765,149.96782,0.91672474,0.091483794,-0.21765949,-0.0070751924
6,Hip,450.0735,236.27371,0.852451,0.055770382,-0.01014393,-0.0010453761
6,LBigToe,438.02832,363.19415,0.4417622,,,
6,RBigToe,440.43735,363.19415,0.7921079,,,
6,LSmallToe,440.43735,368.27097,0.4764617,,,
6,RSmallToe,433.21027,358.11734,0.61631155,,,
6,LHeel,423.57413,353.04053,0.52676153,,,
6,RHeel,423.57413,353.04053,0.74501836,,,
