frame,joint,x_2d,y_2d,score_2d,x_3d,y_3d,z_3d
0,Nose,464.72583,135.38367,0.7871484,,,
0,LEye,467.03485,130.24075,0.732135,,,
0,REye,460.10782,125.09783,0.7900013,,,
0,LEar,473.96185,135.38367,0.61973256,,,
0,REar,453.18082,130.24075,0.86687225,,,
0,LShoulder,469.34384,166.24115,0.5915124,0.111991405,-0.17000687,0.053387474
0,RShoulder,437.0178,161.09824,0.43857923,0.02176673,-0.19811727,0.029945077
0,LElbow,485.50687,176.52698,0.7487628,0.14687088,-0.14964575,-0.06478253
0,RElbow,407.00073,186.8128,0.53430706,-0.042867817,-0.12908185,0.0895037
0,LWrist,478.57986,181.66989,0.30478817,0.11976767,-0.14598759,-0.18698159
0,RWrist,411.61874,222.81322,0.29781413,-0.028276859,-0.05355945,0.010193721
0,LHip,457.79883,248.52779,0.6025734,0.07047183,0.008849125,0.033248473
0,RHip,434.70877,233.09904,0.57648027,0.0095341755,-0.022995556,-0.032454394
0,LKnee,443.9448,294.81403,0.689817,0.03494379,0.13072361,0.011800664
0,RKnee,427.78177,289.6711,0.81444013,0.0058288574,0.10985932,-0.15124972
0,LAnkle,430.09076,346.24316,0.8450329,0.01480349,0.2521985,-0.06276914
0,RAnkle,407.00073,351.38608,0.7651411,-0.04117872,0.2583032,-0.25865802
0,Head,462.41684,109.66909,0.5814511,0.084050626,-0.31087115,0.01970716
0,Neck,455.4898,150.81241,0.6744701,0.07285428,-0.21336678,0.046956953
0,Hip,446.25378,238.24196,0.6537144,0.042069815,-0.0046973936,-0.0013887242
0,LBigToe,439.32678,361.6719,0.8910621,,,
0,RBigToe,413.92773,361.6719,0.74199444,,,
0,LSmallToe,439.32678,356.529,0.90553486,,,
0,RSmallToe,409.30972,366.81482,0.7087947,,,
0,LHeel,425.47275,351.38608,0.8277434,,,
0,RHeel,404.6917,356.529,0.7303863,,,
1,Nose,468.59506,134.6111,0.8254875,,,
1,LEye,470.88193,129.51773,0.8359256,,,
1,REye,464.02133,124.424355,0.8780461,,,
1,LEar,473.1688,139.70448,0.62539464,,,
1,REar,454.8739,129.51773,0.883838,,,
1,LShoulder,466.3082,170.26474,0.64579827,0.11392935,-0.17017905,0.054414764
1,RShoulder,436.57904,154.98462,0.6619119,0.024203798,-0.19815174,0.030229619
1,LElbow,486.88992,175.35812,0.8220893,0.14969862,-0.15061115,-0.06292283
1,RElbow,406.84985,185.54488,0.76360536,-0.041253526,-0.12950793,0.0895274
1,LWrist,473.1688,149.89124,0.5000852,0.122136876,-0.14775045,-0.18359084
1,RWrist,411.42358,226.29189,0.697836,-0.026960764,-0.052782267,0.009693594
1,LHip,454.8739,246.6654,0.6167557,0.071833715,0.008337606,0.032849353
1,RHip,434.29218,236.47864,0.63085526,0.010843373,-0.02370448,-0.032215547
1,LKnee,445.72647,292.5058,0.6446691,0.03635443,0.13035674,0.0119264815
1,RKnee,429.71844,287.4124,0.7529455,0.011601053,0.10737552,-0.15360641
1,LAnkle,432.0053,343.43958,0.76355153,0.016665548,0.2507338,-0.05756606
1,RAnkle,413.71045,343.43958,0.74617225,-0.031464376,0.25485307,-0.26188353
1,Head,464.02133,109.14422,0.7227851,0.08685618,-0.31103888,0.019570282
1,Neck,457.16077,149.89124,0.78733337,0.07543515,-0.21333103,0.047376856
1,Hip,443.4396,236.47864,0.6978101,0.04344756,-0.0052628964,-0.0013215104
1,LBigToe,441.15274,358.7197,0.8553768,,,
1,RBigToe,420.571,358.7197,0.5156787,,,
1,LSmallToe,441.15274,358.7197,0.846681,,,
1,RSmallToe,415.9973,358.7197,0.5311452,,,
1,LHeel,425.14474,353.6263,0.6984716,,,
1,RHeel,411.42358,353.6263,0.6083432,,,
2,Nose,470.4683,139.1716,0.6619529,,,
2,LEye,472.7867,134.09848,0.7227396,,,
2,REye,465.83142,129.02536,0.66403157,,,
2,LEar,456.5577,129.02536,0.49975914,,,
2,REar,456.5577,129.02536,0.8059917,,,
2,LShoulder,438.01025,159.46408,0.6507949,0.1155788,-0.16937871,0.055875152
2,RShoulder,470.4683,164.5372,0.6232058,0.026142703,-0.19699354,0.031212116
2,LElbow,407.87067,189.90282,0.7360629,0.15605727,-0.15133141,-0.057743438
2,RElbow,489.01572,169.61034,0.7936459,-0.03752925,-0.12865777,0.09036115
2,LWrist,414.82596,225.41466,0.648855,0.12527914,-0.14555968,-0.17709629
2,RWrist,475.10513,149.31784,0.43483764,-0.028235829,-0.050898135,0.011914058
2,LHip,433.3734,240.63402,0.42990392,0.07345213,0.008810855,0.032170564
2,RHip,451.92084,250.78026,0.34641352,0.01175384,-0.023931732,-0.03198781
2,LKnee,440.3287,291.36523,0.43878344,0.037108324,0.13021621,0.012641957
2,RKnee,438.01025,291.36523,0.49048656,0.017397216,0.10495563,-0.15599504
2,LAnkle,431.05496,347.16956,0.57288414,0.01821435,0.24917077,-0.050380897
2,RAnkle,421.78125,342.09644,0.55650145,-0.022446608,0.2515435,-0.26391366
2,Head,468.14984,108.73288,0.71555704,0.08927647,-0.31099877,0.018970137
2,Neck,456.5577,144.24472,0.787819,0.07770024,-0.21287845,0.04682634
2,Hip,442.64713,240.63402,0.6120891,0.044848226,-0.0052367486,-0.00117593
2,LBigToe,440.3287,357.3158,0.4538693,,,
2,RBigToe,440.3287,357.3158,0.7261014,,,
2,LSmallToe,438.01025,352.24268,0.44384137,,,
2,RSmallToe,438.01025,362.38892,0.7550743,,,
2,LHeel,414.82596,357.3158,0.58330333,,,
2,RHeel,424.09967,352.24268,0.5803141,,,
3,Nose,468.9222,133.72072,0.84556794,,,
3,LEye,471.266,128.6253,0.85923004,,,
3,REye,464.23468,123.52988,0.9058739,,,
3,LEar,475.95355,138.81615,0.8438751,,,
3,REar,457.20334,128.6253,0.8680186,,,
3,LShoulder,473.60977,169.38867,0.72649276,0.1186866,-0.17060874,0.054501895
3,RShoulder,440.79694,154.1024,0.62795013,0.028369917,-0.1986151,0.029862085
3,LElbow,487.67242,169.38867,0.87324435,0.15742365,-0.15340136,-0.05998885
3,RElbow,407.98407,184.67493,0.75832754,-0.039036676,-0.12973782,0.08847278
3,LWrist,475.95355,154.1024,0.61205316,0.1267062,-0.14761335,-0.17916752
3,RWrist,415.0154,225.43831,0.70725405,-0.025578728,-0.050906476,0.007859981
3,LHip,457.20334,245.81999,0.69625473,0.07506581,0.0070643276,0.032568675
3,RHip,436.10938,230.53372,0.6244456,0.013451984,-0.025217988,-0.03207808
3,LKnee,445.48447,291.67877,0.7396774,0.03923667,0.1301315,0.011583345
3,RKnee,433.7656,286.58337,0.76231134,0.023811882,0.10153894,-0.15866621
3,LAnkle,431.4218,342.633,0.80718255,0.020441175,0.24805827,-0.045835927
3,RAnkle,422.04672,342.633,0.7964992,-0.013711611,0.24942549,-0.26447263
3,Head,468.9222,108.243614,0.7161394,0.09198179,-0.31168097,0.018824436
3,Neck,461.8909,149.00699,0.7433014,0.08042194,-0.21372978,0.04660357
3,Hip,447.82825,235.62915,0.7156348,0.046231374,-0.006843187,-0.001087025
3,LBigToe,438.45316,363.01468,0.8350044,,,
3,RBigToe,431.4218,357.91925,0.516494,,,
3,LSmallToe,440.79694,357.91925,0.8387101,,,
3,RSmallToe,426.73428,357.91925,0.43060118,,,
3,LHeel,426.73428,352.82385,0.6975475,,,
3,RHeel,417.3592,357.91925,0.7360857,,,
4,Nose,469.75183,134.41699,0.75545394,,,
4,LEye,472.11792,129.3163,0.78775823,,,
4,REye,465.01962,124.215614,0.80758876,,,
4,LEar,476.85013,139.51768,0.56144375,,,
4,REar,457.92136,129.3163,0.85944533,,,
4,LShoulder,472.11792,165.02113,0.68864363,0.121129155,-0.17139126,0.053197566
4,RShoulder,438.99255,154.81975,0.75159556,0.030240523,-0.19904467,0.028078333
4,LElbow,491.0467,170.12183,0.8442324,0.16188782,-0.15536003,-0.059912473
4,RElbow,408.2333,185.42389,0.78876644,-0.038344286,-0.12990984,0.08603368
4,LWrist,476.85013,149.71906,0.6108448,0.12971188,-0.14584596,-0.17931299
4,RWrist,415.3316,226.2294,0.7449904,-0.02434511,-0.049530182,0.007078265
4,LHip,457.92136,246.63216,0.60518694,0.07694656,0.0062824357,0.03252048
4,RHip,434.26038,236.43079,0.5815741,0.014726207,-0.02602619,-0.03213252
4,LKnee,460.28745,261.93423,0.4172002,0.04164912,0.13036492,0.011949277
4,RKnee,434.26038,282.33698,0.7782814,0.030861743,0.097851366,-0.16172351
4,LAnkle,436.62646,333.34387,0.42257878,0.022732178,0.24688844,-0.041322216
4,RAnkle,427.16208,343.54526,0.7770903,-0.0053946674,0.24730031,-0.2637479
4,Head,465.01962,108.91355,0.68120253,0.094022065,-0.31219584,0.01728818
4,Neck,460.28745,149.71906,0.74438256,0.082759164,-0.21422409,0.044621035
4,Hip,446.09085,236.43079,0.6385232,0.047685552,-0.0076000206,-0.000993666
4,LBigToe,438.99255,353.74664,0.406359,,,
4,RBigToe,438.99255,358.84732,0.9071284,,,
4,LSmallToe,438.99255,353.74664,0.35665044,,,
4,RSmallToe,436.62646,358.84732,0.8713546,,,
4,LHeel,422.42987,353.74664,0.2719036,,,
4,RHeel,422.42987,353.74664,0.80261767,,,
5,Nose,468.55652,134.49196,0.85554993,,,
5,LEye,473.26855,129.40427,0.82652724,,,
5,REye,466.20047,124.316574,0.8981765,,,
5,LEar,480.3366,134.49196,0.82717025,,,
5,REar,456.7764,129.40427,0.8513704,,,
5,LShoulder,480.3366,165.01811,0.7617623,0.12337329,-0.17296515,0.052249275
5,RShoulder,440.28424,154.84273,0.711559,0.031987797,-0.20018019,0.026279071
5,LElbow,492.11673,170.1058,0.88690436,0.16647908,-0.15791385,-0.059440594
5,RElbow,407.29993,185.3689,0.81678486,-0.037732393,-0.13067533,0.08325798
5,LWrist,480.3366,190.45659,0.8152182,0.13213052,-0.14359774,-0.17694303
5,RWrist,414.368,220.98274,0.8843956,-0.02371312,-0.049006686,0.003948993
5,LHip,461.48843,246.4212,0.7438901,0.07909648,0.0046717003,0.032355603
5,RHip,437.92822,231.15813,0.62669146,0.016315222,-0.02751153,-0.032214664
5,LKnee,447.3523,292.21045,0.635205,0.04350623,0.13023409,0.010386163
5,RKnee,442.64026,282.03506,0.8120075,0.038542584,0.09312086,-0.16435492
5,LAnkle,430.86017,343.08737,0.54876035,0.025086762,0.24588557,-0.035395622
5,RAnkle,428.50412,343.08737,0.8134239,0.0027686188,0.24555205,-0.26153326
5,Head,466.20047,109.0535,0.64410204,0.095976226,-0.31365848,0.015645169
5,Neck,461.48843,149.75504,0.83060014,0.084928095,-0.21553816,0.0425865
5,Hip,449.7083,236.24582,0.7564038,0.049576797,-0.009229716,-0.0008970408
5,LBigToe,437.92822,358.35046,0.73990864,,,
