frame,knee_valgus_L,knee_valgus_R,head_forward_angle,squat_depth_knee_deg,sagittal_flexion_trunk,hip_angle_L,hip_angle_R,hip_flexion_L,hip_flexion_R,knee_flexion_L,knee_flexion_R,ankle_dorsiflexion_proxy_L,ankle_dorsiflexion_proxy_R,lumbar_curvature_proxy
0,-10.929290771484375,3.0212554931640625,18.647300720214844,18.47972020306794,-0.7615390419960022,163.33215484782295,155.35713233052405,0.567661275062278,6.4056281940075905,22.52465756534292,14.434782840792963,-3.769439697265625,2.02447509765625,-0.7615390419960022
1,-9.904449462890625,2.6897735595703125,18.941709518432617,18.14185665337594,-0.5983214378356934,163.82406351044432,153.51448390916858,0.5478915468785317,4.443536688480094,21.32866520910082,14.955048097651058,-2.7284393310546875,0.8222198486328125,-0.5983214378356934
2,-8.308441162109375,2.24346923828125,18.95381736755371,18.101515939859212,-0.30959323048591614,163.74958777340177,151.28188057238097,0.993645151052192,2.197044809255317,20.193146480495557,16.009885399222867,-1.410491943359375,0.038848876953125,-0.30959323048591614
3,-6.8233642578125,1.2122344970703125,18.94267463684082,17.690065075491574,4.068944008395192e-07,164.20875561785903,149.27971594501514,0.0,0.0,17.742426412717492,17.637703738265657,0.0,0.0,4.068944008395192e-07
4,-6.3249664306640625,-0.0126190185546875,18.631776809692383,18.41447724755102,0.547362208366394,164.54053293734984,146.47671406303607,-0.6227402194407432,-2.860777328815743,16.500346260490375,20.328608234611664,1.0992889404296875,0.5724334716796875,0.547362208366394
5,-3.76483154296875,-1.4469146728515625,18.355104446411133,18.56438392321884,0.9891464114189148,164.19801693335754,143.68190849039073,-1.4546153648760765,-5.6692149742510765,13.476927922140078,23.651839924297605,3.0621795654296875,1.653564453125,0.9891464114189148
6,-1.798370361328125,-3.057830810546875,18.009246826171875,19.388310745458156,1.5319262742996216,164.05421925138492,140.7894533868103,-2.2875258429911582,-8.495167444553658,11.249938713186424,27.52668277772989,4.632415771484375,3.26824951171875,1.5319262742996216
7,-0.21337890625,-4.690948486328125,17.48092269897461,20.92670366917244,2.215111494064331,163.55013378530074,137.6836751510873,-3.1133197053339927,-11.55800659498243,10.313166759369722,31.54024057897516,5.2920989990234375,4.844573974609375,2.215111494064331
8,2.0877685546875,-6.3337554931640625,16.968446731567383,21.64533211816658,2.8277366161346436,162.83423593819165,135.08651068179876,-4.116707156505868,-14.031288455333993,8.624319817991676,34.66634441834148,6.846649169921875,5.9101409912109375,2.8277366161346436
9,4.03216552734375,-8.033920288085938,16.463912963867188,22.019838800968472,2.968189239501953,162.03152780879725,133.7321892646531,-3.9901614888575523,-15.20816380819349,8.335149639987776,35.70452796194917,8.182907104492188,5.5937957763671875,2.968189239501953
