frame,joint,x_2d,y_2d,score_2d,x_3d,y_3d,z_3d
0,Nose,460.92236,107.19012,0.9388022,,,
0,LEye,464.72787,100.323265,0.9370707,,,
0,REye,453.31128,100.323265,0.9461477,,,
0,LEar,472.33893,114.05696,0.9388282,,,
0,REar,441.8947,114.05696,0.9503655,,,
0,LShoulder,479.94998,155.25806,0.8905824,0.13809508,-0.18969105,-0.0065967077
0,RShoulder,430.47812,155.25806,0.915052,0.0062065236,-0.19571868,-0.044853188
0,LElbow,498.97763,162.12491,0.87856597,0.17896792,-0.19362001,0.033099253
0,RElbow,407.64496,162.12491,0.81568974,-0.0490138,-0.20089199,-0.107799575
0,LWrist,514.1997,148.39122,0.91129154,0.23473199,-0.23399909,-0.09844372
0,RWrist,407.64496,148.39122,0.806703,-0.04020156,-0.23042026,-0.25390235
0,LHip,468.53342,278.86136,0.8735116,0.11640999,0.0813124,0.0047074268
0,RHip,434.28366,278.86136,0.87404656,0.006712007,0.08041987,-0.017424023
0,LKnee,479.94998,347.52985,0.88773954,0.13922419,0.26637867,-0.18948236
0,RKnee,419.06155,347.52985,0.8814225,-0.0199619,0.2724054,-0.123005845
0,LAnkle,483.75552,416.19836,0.8373028,0.14191277,0.42965654,-0.0022792045
0,RAnkle,411.4505,409.3315,0.8420101,-0.03554361,0.41480976,0.026956199
0,Head,457.11682,79.72272,0.89535934,0.07463813,-0.37706444,-0.06549258
0,Neck,457.11682,141.52437,0.955931,0.07166516,-0.22578399,-0.039322972
0,Hip,449.50577,271.9945,0.88246167,0.06287722,0.077662095,-0.0030755347
0,LBigToe,491.36658,443.66574,0.8565221,,,
0,RBigToe,400.0339,436.7989,0.94320774,,,
0,LSmallToe,498.97763,436.7989,0.8804144,,,
0,RSmallToe,392.42285,429.93204,0.90365994,,,
0,LHeel,476.14447,423.06522,0.7604221,,,
0,RHeel,411.4505,416.19836,0.8019717,,,
1,Nose,460.89728,107.19207,0.94002235,,,
1,LEye,464.7058,100.32526,0.93634367,,,
1,REye,453.28024,100.32526,0.9462633,,,
1,LEar,472.3228,114.05888,0.94155216,,,
1,REar,441.85468,114.05888,0.95459044,,,
1,LShoulder,479.93988,162.12659,0.8931811,0.1383892,-0.18960105,-0.006694698
1,RShoulder,430.42914,155.25977,0.9156267,0.00631289,-0.19558294,-0.0447738
1,LElbow,498.98245,162.12659,0.88810396,0.17916903,-0.19288069,0.030075561
1,RElbow,407.57803,155.25977,0.8264084,-0.049078815,-0.2013673,-0.10778212
1,LWrist,514.21655,148.39296,0.91380745,0.2342211,-0.22971113,-0.09824722
1,RWrist,407.57803,148.39296,0.7961849,-0.039692968,-0.2299395,-0.25361925
1,LHip,468.5143,278.8624,0.8723315,0.11633608,0.08136234,0.0046673995
1,RHip,434.23767,278.8624,0.8780715,0.0065620476,0.08039269,-0.017263016
1,LKnee,479.93988,347.53055,0.87852144,0.1393068,0.26643786,-0.18941733
1,RKnee,419.0036,347.53055,0.87714857,-0.019857107,0.27241793,-0.12217315
1,LAnkle,483.74838,416.19867,0.8234967,0.14189509,0.42954853,-0.0021280313
1,RAnkle,411.38654,409.33188,0.83087707,-0.035532564,0.4148254,0.027314745
1,Head,457.08875,79.724815,0.89507824,0.074871436,-0.37699032,-0.065102026
1,Neck,457.08875,141.52614,0.95620054,0.07172787,-0.22580832,-0.03911989
1,Hip,449.47174,271.9956,0.87194306,0.06277768,0.07779002,-0.003049332
1,LBigToe,491.36542,443.66592,0.8542795,,,
1,RBigToe,399.961,436.79913,0.933453,,,
1,LSmallToe,498.98245,436.79913,0.88430184,,,
1,RSmallToe,392.34396,429.9323,0.9070488,,,
1,LHeel,476.13135,423.0655,0.73902404,,,
1,RHeel,411.38654,416.19867,0.8072,,,
2,Nose,460.93243,107.15505,0.9430623,,,
