frame,joint,x_2d,y_2d,score_2d,x_3d,y_3d,z_3d
0,Nose,374.168,109.4574,0.9136268,,,
0,LEye,379.7266,102.50377,0.9611296,,,
0,REye,374.168,102.50377,0.9333849,,,
0,LEar,396.40244,109.4574,0.9593712,,,
0,REar,396.40244,109.4574,0.7891401,,,
0,LShoulder,401.96103,158.13284,0.8435988,-0.06164833,-0.1879092,-0.13100183
0,RShoulder,401.96103,151.1792,0.6778984,-0.065741956,-0.2032323,0.035136297
0,LElbow,346.37494,178.99374,0.9182271,-0.1816323,-0.13481092,-0.21334557
0,RElbow,340.81635,178.99374,0.8583017,-0.19805133,-0.13610774,0.10990115
0,LWrist,279.67163,185.94737,0.7578664,-0.3271689,-0.12796885,-0.25577828
0,RWrist,279.67163,185.94737,0.66708136,-0.3357238,-0.12035695,0.10870824
0,LHip,396.40244,276.3446,0.7527086,-0.06310336,0.08060792,-0.07022095
0,RHip,401.96103,276.3446,0.7199602,-0.05471778,0.072569594,0.06974631
0,LKnee,407.51965,359.7882,0.8656752,-0.04688555,0.29134962,0.0029590859
0,RKnee,401.96103,352.8346,0.8394715,-0.057487797,0.26733384,0.18500093
0,LAnkle,407.51965,443.23184,0.95745254,-0.032792367,0.4921799,0.05011236
0,RAnkle,407.51965,415.4173,0.8301262,-0.04555849,0.41745648,0.2365767
0,Head,396.40244,74.68923,0.93159735,-0.06571672,-0.38272956,-0.08015175
0,Neck,396.40244,137.27194,0.90933955,-0.060095333,-0.24239658,-0.05897668
0,Hip,401.96103,276.3446,0.84585404,-0.057869487,0.07859126,-0.001536519
0,LBigToe,374.168,464.09274,0.78874093,,,
0,RBigToe,379.7266,422.37094,0.9118374,,,
0,LSmallToe,379.7266,464.09274,0.75560683,,,
0,RSmallToe,385.28522,415.4173,0.8616723,,,
0,LHeel,413.07825,450.18546,0.906115,,,
0,RHeel,418.63687,429.32455,0.7112,,,
1,Nose,373.78745,109.24181,0.9145272,,,
1,LEye,379.3522,102.28411,0.96042484,,,
1,REye,373.78745,102.28411,0.93683255,,,
1,LEar,396.04648,109.24181,0.95881224,,,
1,REar,396.04648,109.24181,0.78286606,,,
1,LShoulder,401.61124,157.94572,0.8360754,-0.06530218,-0.18983057,-0.13180815
1,RShoulder,401.61124,150.98802,0.7112114,-0.06743385,-0.20572306,0.034210287
1,LElbow,345.96368,178.81883,0.9350231,-0.18349767,-0.1360535,-0.2149697
1,RElbow,345.96368,178.81883,0.85712445,-0.1976557,-0.13849194,0.11024197
1,LWrist,279.1866,185.77654,0.7319172,-0.329653,-0.12888391,-0.25622764
1,RWrist,284.75137,185.77654,0.65630627,-0.3353505,-0.12289609,0.11067484
1,LHip,401.61124,276.22665,0.77554053,-0.060820572,0.07958998,-0.07122364
1,RHip,401.61124,276.22665,0.73982126,-0.052381296,0.07131323,0.07018725
1,LKnee,407.176,359.7191,0.8657271,-0.049842864,0.29126567,0.0016180126
1,RKnee,401.61124,352.76138,0.85295624,-0.059139382,0.26678538,0.18453994
1,LAnkle,412.74075,443.2115,0.95326203,-0.032921594,0.4920238,0.049544252
1,RAnkle,407.176,415.38068,0.8123412,-0.04548473,0.41778064,0.23648599
1,Head,396.04648,74.45331,0.92503154,-0.07097612,-0.3839188,-0.0794141
1,Neck,396.04648,130.11491,0.9115599,-0.06338844,-0.24445008,-0.059598006
1,Hip,401.61124,269.26895,0.8680125,-0.05518015,0.07722747,-0.001723185
1,LBigToe,373.78745,457.1269,0.79435116,,,
1,RBigToe,379.3522,422.33838,0.89525634,,,
1,LSmallToe,384.91696,464.0846,0.74640095,,,
1,RSmallToe,384.91696,415.38068,0.86653835,,,
1,LHeel,412.74075,450.1692,0.872312,,,
1,RHeel,418.3055,429.29608,0.685973,,,
2,Nose,366.88657,109.206985,0.94749486,,,
2,LEye,377.99014,102.24863,0.9566861,,,
2,REye,372.43835,102.24863,0.93017465,,,
2,LEar,394.6455,109.206985,0.9634621,,,
2,REar,394.6455,109.206985,0.8157755,,,
2,LShoulder,394.6455,157.9155,0.8648103,-0.06898511,-0.19038363,-0.13253202
2,RShoulder,405.74908,150.95714,0.7838162,-0.06965395,-0.20632522,0.033793613
2,LElbow,344.6794,178.79057,0.9082957,-0.18610229,-0.13675886,-0.21677378
2,RElbow,339.12762,178.79057,0.81138426,-0.19849578,-0.14004801,0.11044207
2,LWrist,278.05795,185.74893,0.77234614,-0.3326285,-0.12948853,-0.2562469
2,RWrist,283.60974,185.74893,0.6062677,-0.33606333,-0.12468025,0.111033686
2,LHip,400.1973,276.20758,0.76534796,-0.057356823,0.07980184,-0.07166248
2,RHip,405.74908,276.20758,0.7407245,-0.049536087,0.07100065,0.07043661
2,LKnee,400.1973,359.7079,0.88180345,-0.05275468,0.2913986,0.00027108123
2,RKnee,400.1973,352.74954,0.8363479,-0.060564652,0.2667718,0.1841897
2,LAnkle,411.30087,443.2082,0.95974386,-0.033034727,0.4920049,0.0485963
2,RAnkle,405.74908,415.37476,0.80355287,-0.045424663,0.41854134,0.2363748
